text,rating,date,reviewer
"What do you like best about Rask AI?For my specific need, the most helpfull feature is to edit the translaed transcript and beeing able to ReDub the video. Since I'm mainly dubbing interviews, sometime there are words or phrases that are only verbal fillings of the guest, and that for the accuracy of the message, can be discarted form the translated product.
Also the voice clonning feature is very accurate, that is great for delivering the content of a known guest, that people knows how their voice sounds, but before the translation, were unable to understand his or her words. Now they recognize the voice and understand the message. Review collected by and hosted on G2.com.What do you dislike about Rask AI?There are not many options of voices, when not using the voice-clonning feature.
I would really wish that the minute count was more accurate, and that 6:45 would not count as 7 minutes. Review collected by and hosted on G2.com.What problems is Rask AI solving and how is that benefiting you?Delivering content worldwide in their native lenguage. Review collected by and hosted on G2.com.",5.0,2023-11-27,Ricardo R.
"What do you like best about Rask AI?Upon using the service, the first thing you'll notice is its incredibly user-friendly interface. It's intuitive, allowing even those with minimal technical expertise to navigate with ease. The process is as simple as uploading your video and selecting the desired language – the AI takes care of the rest.

The most impressive feature is the AI's ability to maintain the speaker's original voice while translating the content. This is a game-changer for online educators like myself  looking to reach a global audience without losing the authenticity of my voice. The result is a translation that feels personal and genuine, as if the speaker were fluent in the language of translation.

Moreover, the post-translation editing capability is a standout. The ability to tweak the translated text is a fantastic addition, but what truly sets this service apart is how these edits respect the original video's timing. This means that your message is delivered as intended, without awkward pauses or rushed speech.

The AI's attention to detail extends to the synchronization of subtitles and lip movements which is still in a test mode, but is already pretty fine, ensuring that the final product is not only heard but also seen as natural. This meticulousness is crucial for maintaining the immersive experience of the original video. I think with time it will get better as for now it's still in beta.


I really encourage anyone to try using this service. Review collected by and hosted on G2.com.What do you dislike about Rask AI?Firstly, the cost of the service is a significant factor. The technology is indeed cutting-edge, but the pricing structure may be prohibitive, especially for educators and professionals who regularly produce lengthy content. In a field where budgets can be tight, a more budget-friendly option would be greatly appreciated and would make this powerful tool more accessible to a broader audience.

Secondly, while the service operates smoothly for the most part, I have experienced occasional freezes at the beginning of videos. Although these hiccups are minor and not particularly disruptive, they do detract from the otherwise sleek user experience. In instances where first impressions are crucial, such as in educational content or professional presentations, even a small glitch can be somewhat off-putting. Review collected by and hosted on G2.com.What problems is Rask AI solving and how is that benefiting you?French being my first language, it was difficult for me to reach student from UK, US, etc. But with this tool, i have access to a bigger market. Review collected by and hosted on G2.com.",4.0,2023-11-08,Christian L.
"What do you like best about Rask AI?As a language learner, I'm always looking for new tools to help me improve my skills. I recently came across RASK, an AI-powered translation tool that has been a game-changer for me. With RASK, I can easily translate online courseware into my native language, making it much easier to understand and absorb the material.

I've been particularly impressed with RASK's ability to handle the technical and specialized language often found in online courses. The translations are consistently accurate and natural-sounding, and I've found that I can learn much more effectively when I'm able to follow along in my own language.

RASK's web app is also incredibly user-friendly. Simply upload the course materials you want to translate, and RASK will do the rest. You can then download the translated files or view them directly in the app.

Overall, I highly recommend RASK to anyone who needs to translate online courseware. It's a powerful and versatile tool that has made my language learning journey much more enjoyable and effective. Review collected by and hosted on G2.com.What do you dislike about Rask AI?While RASK has been an indispensable tool for my language learning journey, I would love to see a slightly lower price point. I've thoroughly researched translation tools, and RASK consistently offers the best value for money. However, I can't help but wish it were even more affordable to make it accessible to an even wider range of language learners.

I understand that the quality of RASK's translations comes at a cost, and I wholeheartedly appreciate the value it provides. Its accuracy, natural flow, and ability to handle specialized language are unmatched in the market. However, I believe that making RASK even more affordable would further enhance its appeal and allow more language learners to benefit from its exceptional capabilities.

I hope that the developers of RASK will continue to explore ways to make their tool even more accessible without compromising on quality. Until then, I remain a loyal user of RASK, recognizing its exceptional value and hoping for future price reductions that will make it an even more attractive option for language learners worldwide. Review collected by and hosted on G2.com.What problems is Rask AI solving and how is that benefiting you?RASK AI is addressing the language barrier that often hinders the dissemination of educational content globally. By providing a powerful and user-friendly translation tool, RASK AI is enabling me to effectively publish courseware in multiple languages, reaching a wider audience and facilitating knowledge sharing across diverse cultures.

RASK AI's ability to handle complex language structures and specialized terminology ensures that the translated courseware maintains its accuracy and integrity. This is particularly crucial for educational content, where precise language is essential for effective learning. Moreover, RASK AI's natural language processing capabilities produce translations that are not only accurate but also fluent and natural-sounding, enhancing the overall learning experience for students worldwide. Review collected by and hosted on G2.com.",5.0,2023-11-06,Louis M.
"What do you like best about Rask AI?It have a huge potentiel
It develop for revolutionize dubbing Review collected by and hosted on G2.com.What do you dislike about Rask AI?No support service at ALL. No one answer you if you have a problem. or 1 week after in their best days.
A lot a lot of bug and after 4 moths of using I was expecting that some bugs will fix. In fact it become worse.
French is NOT french its CANADIAN FRENCH and it s not usable for french speaking world.
It have a huge potential if only they will developp it seriously and got a customer suppport. Review collected by and hosted on G2.com.What problems is Rask AI solving and how is that benefiting you?It s help me to translate and dubbing english video to french videos. Review collected by and hosted on G2.com.",1.0,2024-02-09,Franck D.
"What do you like best about Rask AI?The user-friendly interface of Rask AI makes it easy for me to navigate and create multilingual versions of my content within minutes. The quality of the voice-over is exceptional, and it sounds remarkably natural, as if it were my own voice. This not only saves me the hassle of hiring third-party announcers but also ensures that the final result requires minimal editing.

One of the standout features of Rask AI is its affordability. The cost of using Rask AI is significantly lower compared to hiring a translator, announcer, and editor separately. Additionally, the time saved is invaluable, as I can now produce content in multiple languages without any delays.

I have primarily used Rask AI for dubbing my content into English, but I recently expanded to include Spanish as well. The results have been outstanding, and I'm impressed with how accurately Rask AI captures the emotions and nuances of the original audio track.

Overall, Rask AI has revolutionized my content creation process by streamlining the translation and dubbing workflow. It has saved me valuable time, effort, and costs while delivering exceptional quality. I highly recommend Rask AI to anyone looking to make their content accessible to a global audience."" Review collected by and hosted on G2.com.What do you dislike about Rask AI?It's a bit pricey, but everything else is great, I love it! Review collected by and hosted on G2.com.What problems is Rask AI solving and how is that benefiting you?It Helps me to solve a lot of translation labor and production time of the video Review collected by and hosted on G2.com.",5.0,2023-11-03,Hans Lin .
"What do you like best about Rask AI?Video translation, captions of videos. The most awesome thing here is that you can even grab a video from a language that you don't understand a word and makes it to your language also with captions. I frequently use the website all days. The implementation and integration of the product is algo very easy to understand and helps a lot. Also the customer support by chat seems to work very well Review collected by and hosted on G2.com.What do you dislike about Rask AI?Mistakes on transliteration and tradution. I dont' figure out until now why there are some words that IA con't understando or some basic words that has some talking issues Review collected by and hosted on G2.com.What problems is Rask AI solving and how is that benefiting you?Is helping me do my job really faster and easier than usual, because when you translate a video, automatically the website generates the captions and the dubbing, that is awesome because I would spend a lot of more time doing the tradution, and also it generates a voice, with options to choose between some voices, to my new video with the language that I've choosed. Review collected by and hosted on G2.com.",5.0,2023-11-01,Matheus S.
"What do you like best about Rask AI?Really practical tool for voice-over translation. We expand our businees operation to a set of new countries and use RaskAI extensively in order to translate promo videos to many different languages. Default transcription and translation work in 99% of the cases just out of the box, voice cloning works very well too. Ability to change time codes and insert new ones really helps us to synchronzie text to video, especially when speaker activelly moves or makes gestures. Untill now we translated around 15 clips, total duration rougly 60 minutes, spotted only one bug when voice clonning corrupted the voice for one short time code section, we were able to correct it by simply changing the text slightly. Review collected by and hosted on G2.com.What do you dislike about Rask AI?We are also interested in lip-sync functionality and we compared result of RaskAI vs HeyGen on a very simple video where the speaker is sitting in front of the camera, mouth not covered, etc. And I have to admit HeyGen gave an order of magnitude better result. In the RaskAI generated lip-sync fake motions of lips, nose and especially chin where very obvious and not really synchronzied to each other.  To be fair, for RaskAI lip-sync is in beta stage, I am quite sure they will polish it before the official release. Review collected by and hosted on G2.com.What problems is Rask AI solving and how is that benefiting you?We expand our business operation to a range of new coutnries and adapt promo videos filmed in our home country to the new regions. Rask AI is used for voice-over and translation. Review collected by and hosted on G2.com.",5.0,2024-01-14,anonymous
"What do you like best about Rask AI?A great tool for translating from hearing. 
The app hears all the words from the uploaded material and automatically translates them into any language - the number of languages to choose from is really impressive. Best of all - you can make changes to the text and timecode on the fly - both in the transcription and in the translation, so the end result is exactly as you dream it to be. In addition, choosing from a database of voices is very easy, and if you don't like any of them - there's always the cloning option. I can't wait to see what capabilities rask.app will have in a few months' time. Review collected by and hosted on G2.com.What do you dislike about Rask AI?As in the case of image generation, there is still some time to go before the generated sound actually conveys the creator's intended intent. The only downside for the moment is the inability to control emotion and intention, add pauses and suspend the voice. Although the project I am working on in the app is based on finished material with emotions in the voice, unfortunately it does not translate them into the final dubbing result. The output material is devoid of emotion, loses the intention from the original, and is in no way controllable. It is simply quite flat. I think it's only a matter of time before the algorithm learns to read emotion and context or intent. If you have a simple topic to do where emotions are not important - go ahead and use it, because overall the app works great. Review collected by and hosted on G2.com.What problems is Rask AI solving and how is that benefiting you?I needed to dub teaser to an animated video. The Rask AI translated what I needed and cloned the voice. Review collected by and hosted on G2.com.",5.0,2023-10-30,Malwa K.
"What do you like best about Rask AI?I create content in my native language. And I had experience interacting with a translator and announcer to create my content in another language. This required time, effort and expense to translate the text, then voice-over it and subsequent editing, which was necessary to cut out unsuccessful takes and give it the correct form. Rask AI allows me to save all this effort and literally in a few minutes produces a ready-made version that practically does not require editing, and is also voiced not by a third-party announcer, but by my voice, which sounds absolutely natural. This is an amazing result. The service interface is very simple and clear, the price is more than affordable. The costs of a translator, announcer and editor would be much more expensive. And most importantly, it would take more time. Previously, I only dubbed content into English, but Rask AI allowed me to add Spanish as well. Review collected by and hosted on G2.com.What do you dislike about Rask AI?A couple of times, the English dub version wasn't emotional enough, but the Spanish version was much better, even though they shared the same original audio track. Review collected by and hosted on G2.com.What problems is Rask AI solving and how is that benefiting you?Rask AI helps me save time, effort and costs on translating, dubbing and editing my content into other languages. Review collected by and hosted on G2.com.",5.0,2023-10-25,Alexander F.
"What do you like best about Rask AI?I love that this is a robust platform. I was considering HeyGen and suddenly found Rask AI. It has way better features at a more mature and stable stage and is ultra-easy to use. I was producing translations and using the tools with little effort. I love that the price is more competitive than other services, considering the amount of features they offer. The export time is also very fast, while with HeyGen, exporting one minute of the final video took over 30 minutes. But with RASK AI, it was less than a minute, which was amazing! Review collected by and hosted on G2.com.What do you dislike about Rask AI?So far, nothing. I have been using it just for one day, but coming from a few other platforms that charge more and don't offer as many features, I don't have any complaints. Review collected by and hosted on G2.com.What problems is Rask AI solving and how is that benefiting you?I translate videos from English to Spanish, and I struggled with finding voices, paying a lot for it, or using other voice conversion services that did not offer AI translation, dubbing, or editing. RASK AI solved all my problems. Review collected by and hosted on G2.com.",5.0,2023-10-22,Daniel A.
"What do you like best about Rask AI?I have been using Rask AI for a while with the free version. For this, I created several accounts but decided on the paid version and, honestly, I was pleasantly surprised. Not only is it super easy to use and has a design that I love, but the functionalities are impressive. The part about cloning the voice and adapting the lips realistically is something I had never seen and it has me fascinated. It is definitely one of the best apps I have tried in a long time.After experimenting with several (well-known) apps, the ease of implementation of Rask AI is simply unmatched. Incorporating it into my daily projects has been a smooth and uncomplicated process, now I am working on several projects for TEST and technical explanations about product use. The platform seems to be designed with the user in mind so the UX is very well thought out, eliminating the technical barriers you often find in other tools. This has made my experience not only pleasant but also productive, allowing me to make the most of the app without wasting time on unnecessary complexities. Highly recommended. Review collected by and hosted on G2.com.What do you dislike about Rask AI?For now, I don't see any issues that I don't like, just the price, which is a bit high for the minutes they offer you. Review collected by and hosted on G2.com.What problems is Rask AI solving and how is that benefiting you?Rask AI has been a revolutionary tool for me and of great help. Before, I faced obstacles when trying to convey technical explanations in various languages, but with this app, that barrier has disappeared or has helped me a lot. It has not only facilitated multilingual communication for me, but it has also been essential in an ambitious recipe project in which we work with more than 100 chefs and in different languages. Without Rask AI, coordinating and consolidating all that information would have been a much greater challenge. I am sincerely grateful for how this tool has transformed and simplified my translation processes mainly. Review collected by and hosted on G2.com.",5.0,2023-10-20,Diego G.
"What do you like best about Rask AI?This tool saved me so much time because I don't have to record my videos again just to support customers that speak another language. I'm also really looking forwards to the lip-synching functionality. The fact that you can review the script before starting the dubbing process also makes for a better translation. Moreover, most of the settings are set for you by using AI as well, saving you time and allowing you to focus on bringing value instead of fiddling around with parameters. Review collected by and hosted on G2.com.What do you dislike about Rask AI?The only downside that I noticed is that the dubbed videos are a bit monotonic, but I don't see it as a dealbreaker. Hopefully the dubbed voice will improve in the future, as this technology is relatively new. Review collected by and hosted on G2.com.What problems is Rask AI solving and how is that benefiting you?I don't have to record my videos all over again just to support a different language. Review collected by and hosted on G2.com.",5.0,2023-11-14,Artus V.
"What do you like best about Rask AI?When a video is uploaded within the program, its ability to list the audio text with timestamps is excellent. The translations are largely helpful. Being able to translate a video that has been loaded with music and sound effects is very impressive. In the end, it can deliver voices without music or SFX. It can also be used just to extract speech texts. Review collected by and hosted on G2.com.What do you dislike about Rask AI?The areas that need improvement or where I struggled are as follows: Sometimes, it has difficulty recognizing voices and attributes different voices to a single character. Of course, this can be easily corrected as you can select who will voice the text in the list. The issue I couldn't find a solution for is that sometimes voices from the same person come out differently, even the female voice sounding like a male at times. It also doesn't capture sounds like surprise or sadness and doesn't add them to the character. When we add these sounds to the text, it can sound a bit artificial.  While there may be some challenges for animations, overall, it is a very successful program. Review collected by and hosted on G2.com.What problems is Rask AI solving and how is that benefiting you?We were experiencing difficulties in translating our created films into different languages. We had trouble finding voice actors, and the ones we found were expensive. Additionally, voiceovers were taking at least 2-3 days to be delivered. With Rask AI, we can instantly translate our films with the voices we choose. Review collected by and hosted on G2.com.",4.0,2023-10-12,Huseyin O.
"What do you like best about Rask AI?I have dubbed a video presentation from Italian into English with Clone voice. In the video there are three people presenting and the dubbing was amazing. Very easy. The Ai also review the translation to made it perfet. I would like to slightly review some sentences and text to speech correction is just amazing, easy and very quick to redub! Review collected by and hosted on G2.com.What do you dislike about Rask AI?A bit expenses and I would includ the lip synch in the basic plan. But everything else it is easy and perfect also for me (not a video editor professional) Review collected by and hosted on G2.com.What problems is Rask AI solving and how is that benefiting you?For non video editor professional, I needed to have my company video presentation  in English and Italian. Video Dubbing has been just perfect and easy to do it. I will try the Ai Avatar generation process. V oice Clone was better than original one in foreign lenguage! Review collected by and hosted on G2.com.",5.0,2023-11-05,Luca C.
"What do you like best about Rask AI?The platform is amazing and I don't think there is another AI capable of doing the same thing in such a simple way.
You don't need any previous knowledge, you just sign up and start translating and dubbing your videos.
The possibility to correct the translations helps to get exceptional results.
The support team is always attentive to help you solve all the queries and problems you may encounter.
I have done a project of about 30 videos of about 25 minutes each in 2 languages and the results were excellent. Review collected by and hosted on G2.com.What do you dislike about Rask AI?There are two things I would change and they are the possibility to make searches within the transcription or translation and to improve the automatic translations with the possibility to make changes in some words in a similar way as DeepL does with its own dictionaries to make the translations more consistent. Review collected by and hosted on G2.com.What problems is Rask AI solving and how is that benefiting you?It's helping my clients to reach a larger audience in their native languages. Review collected by and hosted on G2.com.",4.5,2023-10-06,Alexander M.
"What do you like best about Rask AI?I want to share my experience with Rask AI, an incredible platform that has been a game-changer for me on numerous occasions. Thanks to Rask AI, I've been able to quickly translate my videos into the language of my choice, effortlessly, even though I don't speak English. The tool is incredibly intuitive, saving me a tremendous amount of time.

One of the most impressive aspects of Rask AI is how user-friendly it is. Even my teams in Germany have been able to access important training sessions thanks to this tool. It has significantly strengthened our international collaboration.

I wholeheartedly recommend Rask AI to anyone looking for fast and high-quality video translation. It's a game-changing tool. Review collected by and hosted on G2.com.What do you dislike about Rask AI?Now, what don't I like about Rask AI? Well, aside from the fact that the website isn't in French (a minor hiccup 🙃), I don't have much to complain about. There was one time when I tried to translate a particularly long video, and I thought I had wasted my money because I couldn't complete the project. However, I contacted their customer support, which was incredibly responsive and resolved my issue in no time. My minutes were refunded, and all I had to do was split the video for translation. Problem solved, and the quality of the translation was outstanding. Review collected by and hosted on G2.com.What problems is Rask AI solving and how is that benefiting you?The customer service is top-notch. I had uploaded a 135-minute video that turned out to be way too long and couldn't be translated. Unfortunately, it had consumed my minutes. I contacted customer service via message, and they promptly resolved the issue, restoring my minutes and providing guidance to help me successfully translate my video. I am delighted and very satisfied with the assistance I received. Review collected by and hosted on G2.com.",5.0,2023-10-03,Annemarie A.
"What do you like best about Rask AI?Great quality of translating from languages that are not English. Also great speaking quality of the captions that mimic the original voice of the speaker in good quality to be publishable as a dubbing. Generates subtitles as well and they are easy to use on social platforms like YouTube. Of all the services I tried, this one is the best. The best think is they support a huge amount of languages. Review collected by and hosted on G2.com.What do you dislike about Rask AI?I think it's a bit expensive and I would love to have my videos translated into more languages but cannot afford it right now. Review collected by and hosted on G2.com.What problems is Rask AI solving and how is that benefiting you?Currently, subtitles and I believe YouTube will allow me to use dubbing I will use this tool to make my videos more accessible on the internet since my original language is Slovak Review collected by and hosted on G2.com.",5.0,2023-11-18,Mário K.
"What do you like best about Rask AI?I was invited to give a conference in Brazil, I have several videos in Spanish, but I do not have the way to finance the translation and voice-over into Portuguese. Fure at that minute through TikTok I met Rask. I started using it and in minutes I already had the videos I need, really spectacular. Very intuitive and easy to use. Review collected by and hosted on G2.com.What do you dislike about Rask AI?It could be interesting to have more than 3 minutes in the free version, since it gives the option to start and get to know it better. I run longer videos of 2 to 3 minutes, I was only able to do a test before going to the paid version. Review collected by and hosted on G2.com.What problems is Rask AI solving and how is that benefiting you?Mainly the time and cost of translation into languages in a simple way, especially when it is not a common language like English. In my case it was Portuguese. Review collected by and hosted on G2.com.",5.0,2023-10-16,Juan H.
